Model,Feature selection,Train/Validation,R2 mean±std,MSE mean±std,RMSE mean±std,MAE mean±std
DT,L1,Train,0.252 ± 0.015,6.233 ± 0.185,2.497 ± 0.037,1.995 ± 0.026
DT,L1,Validation,0.186 ± 0.054,6.688 ± 0.875,2.581 ± 0.167,2.073 ± 0.116
DT,UVFS,Train,0.252 ± 0.014,6.238 ± 0.186,2.498 ± 0.037,1.992 ± 0.027
DT,UVFS,Validation,0.16 ± 0.052,6.916 ± 0.974,2.624 ± 0.183,2.11 ± 0.133
RF,L1,Train,0.339 ± 0.008,5.51 ± 0.233,2.347 ± 0.05,1.838 ± 0.04
RF,L1,Validation,0.221 ± 0.033,6.406 ± 0.811,2.527 ± 0.159,2.023 ± 0.127
RF,UVFS,Train,0.339 ± 0.014,5.515 ± 0.233,2.348 ± 0.05,1.836 ± 0.034
RF,UVFS,Validation,0.211 ± 0.024,6.499 ± 0.889,2.544 ± 0.175,2.026 ± 0.145
gb,L1,Train,0.631 ± 0.005,3.074 ± 0.079,1.753 ± 0.023,1.393 ± 0.021
gb,L1,Validation,0.279 ± 0.054,5.913 ± 0.649,2.428 ± 0.135,1.937 ± 0.122
gb,UVFS,Train,0.714 ± 0.008,2.385 ± 0.039,1.544 ± 0.012,1.21 ± 0.017
gb,UVFS,Validation,0.294 ± 0.045,5.799 ± 0.657,2.404 ± 0.137,1.914 ± 0.132
svr,L1,Train,0.694 ± 0.012,2.55 ± 0.088,1.597 ± 0.028,1.109 ± 0.017
svr,L1,Validation,0.274 ± 0.056,5.948 ± 0.572,2.436 ± 0.119,1.928 ± 0.108
svr,UVFS,Train,0.709 ± 0.011,2.421 ± 0.061,1.556 ± 0.02,1.076 ± 0.013
svr,UVFS,Validation,0.294 ± 0.04,5.807 ± 0.738,2.405 ± 0.155,1.891 ± 0.128
