Model,Feature selection,Train/Validation,R2 mean±std,MSE mean±std,RMSE mean±std,MAE mean±std
DT,L1,Train,0.252 ± 0.015,6.233 ± 0.185,2.497 ± 0.037,1.995 ± 0.026
DT,L1,Validation,0.186 ± 0.054,6.688 ± 0.875,2.581 ± 0.167,2.073 ± 0.116
DT,UVFS,Train,0.252 ± 0.014,6.235 ± 0.19,2.497 ± 0.038,1.993 ± 0.027
DT,UVFS,Validation,0.164 ± 0.051,6.875 ± 0.926,2.617 ± 0.174,2.1 ± 0.122
RF,L1,Train,0.337 ± 0.01,5.525 ± 0.185,2.35 ± 0.039,1.844 ± 0.026
RF,L1,Validation,0.218 ± 0.024,6.44 ± 0.865,2.533 ± 0.17,2.019 ± 0.141
RF,UVFS,Train,0.347 ± 0.01,5.447 ± 0.202,2.334 ± 0.043,1.831 ± 0.031
RF,UVFS,Validation,0.2 ± 0.022,6.599 ± 0.928,2.563 ± 0.181,2.047 ± 0.147
gb,L1,Train,0.628 ± 0.007,3.103 ± 0.092,1.762 ± 0.026,1.402 ± 0.022
gb,L1,Validation,0.281 ± 0.059,5.883 ± 0.572,2.423 ± 0.118,1.921 ± 0.11
gb,UVFS,Train,0.774 ± 0.008,1.88 ± 0.104,1.371 ± 0.038,1.069 ± 0.03
gb,UVFS,Validation,0.312 ± 0.07,5.613 ± 0.448,2.368 ± 0.095,1.885 ± 0.089
svr,L1,Train,0.695 ± 0.013,2.539 ± 0.089,1.594 ± 0.028,1.106 ± 0.014
svr,L1,Validation,0.279 ± 0.064,5.891 ± 0.504,2.425 ± 0.105,1.92 ± 0.076
svr,UVFS,Train,0.709 ± 0.013,2.423 ± 0.081,1.556 ± 0.026,1.047 ± 0.019
svr,UVFS,Validation,0.291 ± 0.049,5.82 ± 0.652,2.409 ± 0.137,1.905 ± 0.119
