,G1,G2,G3
128,7,4,0
130,12,0,0
131,8,0,0
134,9,0,0
135,11,0,0
136,10,0,0
137,4,0,0
140,7,9,0
144,5,0,0
146,6,7,0
148,7,6,0
150,6,5,0
153,5,0,0
160,7,6,0
162,7,0,0
168,6,7,0
170,6,5,0
173,8,7,0
221,6,5,0
239,7,7,0
242,6,0,0
244,7,0,0
259,10,9,0
264,9,10,0
269,6,0,0
296,10,9,0
310,9,9,0
316,8,8,0
332,7,0,0
333,8,8,0
334,10,9,0
337,7,8,0
341,10,10,0
343,9,8,0
367,7,6,0
383,6,5,0
387,7,5,0
389,6,5,0
0,0,11,11
163,11,9,0
440,7,0,0
519,8,7,0
563,7,0,0
567,4,0,0
583,8,6,0
586,8,8,0
597,9,0,0
603,5,0,0
605,5,0,0
610,8,0,0
626,7,5,0
637,7,7,0
639,5,8,0
640,7,7,0
